source,definition,level,n,e,density,E/N
math_full raw,density all-internal,elementary,740,3407,0.0125,4.6041
math_full raw,density all-internal,middle,1139,3442,0.0053,3.0219
math_full raw,density all-internal,high,1419,153,0.0002,0.1078
math_full raw,density all-internal,college,338,948,0.0166,2.8047
math_full raw,density requires-only same-level-edges,elementary,10,7,0.1556,0.7
math_full raw,density requires-only same-level-edges,middle,54,47,0.0328,0.8704
math_full raw,density requires-only same-level-edges,high,51,32,0.0251,0.6275
math_full raw,density requires-only same-level-edges,college,27,20,0.057,0.7407
math_full raw,density prerequisite-only same-level-edges,elementary,185,3397,0.1996,18.3622
math_full raw,density prerequisite-only same-level-edges,middle,338,3312,0.0582,9.7988
math_full raw,density prerequisite-only same-level-edges,high,16,10,0.0833,0.625
math_full raw,density prerequisite-only same-level-edges,college,103,777,0.1479,7.5437
physics_comparison snapshot (556/238),density (archived),elementary,26,2,0.0062,0.0769
physics_comparison snapshot (556/238),density (archived),middle,57,6,0.0038,0.1053
physics_comparison snapshot (556/238),density (archived),high,200,49,0.0025,0.245
physics_comparison snapshot (556/238),density (archived),college,273,105,0.0028,0.3846
